"reviewID","title_CH","title_EN","rating","reviews","reviews_word_seg_pos","reviews_sentiword_seg","genre"
"Review_1","紫羅蘭永恆花園外傳－永遠與自動手記人偶－","Violet Evergarden - Eternity and the Auto Memory Doll -","1","唉，踩雷了，浪費時間，不推 唉，踩雷了，浪費時間，不推","唉_x ，_stop 踩_zg 雷_n 了_ul ，_stop 浪費_v 時間_n ，_stop 不_d 推_v  _x 唉_x ，_stop 踩_zg 雷_n 了_ul ，_stop 浪費_v 時間_n ，_stop 不_d 推_v","唉 踩 雷 了 浪費 時間 不 推 唉 踩 雷 了 浪費 時間 不 推","動畫"
"Review_2","復仇者聯盟：終局之戰","Avengers: Endgame","2","一般般    這次感覺還好   當然還是 可以看啦","一般般_x  _x  _x  _x  _x 這次_q 感覺_v 還好_z  _x  _x  _x 當然_d 還是_d  _x 可以_c 看_v 啦_y","一般般 這次 感覺 還好 當然 還是 可以 看","動作_冒險"
"Review_3","復仇者聯盟：終局之戰","Avengers: Endgame","2","今天跑去看，其實還好而已，前面有點悶，後面還可以","今天_n 跑_v 去_v 看_v ，_stop 其實_d 還好_z 而已_y ，_stop 前面_n 有點_d 悶_v ，_stop 後面_n 還_d 可以_c","今天 跑 去 看 其實 還好 而已 前面 有點 悶 後面 還 可以","動作_冒險"
"Review_4","復仇者聯盟：終局之戰","Avengers: Endgame","2","只有30分鐘能看，其他時間都不知道在幹嘛","只有_c 30_m 分鐘_q 能_d 看_v ，_stop 其他_r 時間_n 都_x 不知道_v 在_p 幹嘛_x","只有 30 分鐘 能 看 其他 時間 都 不知道 在 幹嘛","動作_冒險"
"Review_5","復仇者聯盟：終局之戰","Avengers: Endgame","1","片長三個小時，只有最後半小時能看，前面真的鋪陳太久，我旁邊的都看到打呼","片長_n 三個_m 小時_n ，_stop 只有_c 最後_f 半_m 小時_n 能_d 看_v ，_stop 前面_n 真的_d 鋪陳_v 太久_nr ，_stop 我_r 旁邊_f 的_uj 都_x 看到_v 打呼_v","片長 三個 小時 只有 最後 半 小時 能 看 前面 真的 鋪陳 太久 我 旁邊 的 都 看到 打呼","動作_冒險"
"Review_6","復仇者聯盟：終局之戰","Avengers: Endgame","1","史上之最，劇情拖太長，邊看邊想睡覺......  1.浩克竟然學會跟旁人一起合照。 2.索爾住處的wifi為什麼不設密碼？  啊我究竟是看到了什麼..............  這部電影，感覺浪費時間，浪費錢........","史上_x 之_u 最_d ，_stop 劇情_n 拖_v 太長_n ，_stop 邊看邊_x 想_v 睡覺_v ._x ._x ._x ._x ._x ._x  _x  _x 1._m 浩克_x 竟然_d 學會_n 跟_p 旁人_x 一起_d 合照_v 。_stop  _x 2._m 索爾_nr 住處_n 的_uj wifi_eng 為什麼_x 不設_x 密碼_n ？_stop  _x  _x 啊_y 我_r 究竟_d 是_v 看到_v 了_ul 什麼_x ._x ._x ._x ._x ._x ._x ._x ._x ._x ._x ._x ._x ._x ._x  _x  _x 這部_r 電影_n ，_stop 感覺_v 浪費_v 時間_n ，_stop 浪費_v 錢_n ._x ._x ._x ._x ._x ._x ._x ._x","史上 之 最 劇情 拖 太長 邊看邊 想 睡覺 1. 浩克 竟然 學會 跟 旁人 一起 合照 2. 索爾 住處 的 wifi 為什麼 不設 密碼 我 究竟 是 看到 了 什麼 這部 電影 感覺 浪費 時間 浪費 錢","動作_冒險"
"Review_7","復仇者聯盟：終局之戰","Avengers: Endgame","1","難看死ㄌ 難看死了 難看死ㄌ 看到睡著 拖戲拖很長 爛到爆","難看_z 死_v ㄌ_x  _x 難看_z 死_v 了_ul  _x 難看_z 死_v ㄌ_x  _x 看到_v 睡著_x  _x 拖戲_x 拖_v 很長_x  _x 爛_z 到_v 爆_v","難看 死 ㄌ 難看 死 了 難看 死 ㄌ 看到 睡著 拖戲 拖 很長 爛 到 爆","動作_冒險"
"Review_8","復仇者聯盟：終局之戰","Avengers: Endgame","1","連續三度睡著，真的演的太好睡了","連續_a 三度_x 睡著_x ，_stop 真的_d 演_v 的_uj 太_d 好_a 睡_v 了_ul","連續 三度 睡著 真的 演 的 太 好 睡 了","動作_冒險"
"Review_9","復仇者聯盟：終局之戰","Avengers: Endgame","1","一整個完全看不懂 以前以後的 整個後前半段都在閒話家常 後半段像看了一部電玩動畫展 真的是傻眼 美國隊長為什麼還能拿槌子了 浩克一整個以浩克變身在聊天 完全沒什麼心情起伏 一整打哈欠 復仇者聯盟之終局除夕大團圓","一_m 整個_q 完全_d 看不懂_v  _x 以前_n 以後_f 的_uj  _x 整個_q 後_n 前半段_t 都_x 在_p 閒話家常_i  _x 後半段_t 像_v 看_v 了_ul 一部_m 電玩_n 動_v 畫展_n  _x 真的是_d 傻眼_n  _x 美國隊長_n 為什麼_x 還_d 能_d 拿_x 槌子_i 了_ul  _x 浩克一_x 整個_q 以浩克_x 變身_v 在_p 聊天_nz  _x 完全_d 沒什麼_l 心情_n 起伏_x  _x 一整_d 打哈欠_v  _x 復仇_v 者_k 聯盟_x 之終_x 局_x 除夕_t 大團圓_n","一 整個 完全 看不懂 以前 以後 的 整個 後 前半段 都 在 閒話家常 後半段 像 看 了 一部 電玩 動 畫展 真的是 傻眼 美國隊長 為什麼 還 能 拿 槌子 了 浩克一 整個 以浩克 變身 在 聊天 完全 沒什麼 心情 起伏 一整 打哈欠 復仇 者 聯盟 之終 局 除夕 大團圓","動作_冒險"
"Review_10","復仇者聯盟：終局之戰","Avengers: Endgame","1","時間長,真難看,不知為何賣座這麼好,浪費我半天的時間","時間_n 長_zg ,_stop 真_d 難看_z ,_stop 不知_v 為何_x 賣_x 座_q 這麼_d 好_a ,_stop 浪費_v 我_r 半天_m 的_uj 時間_n","時間 長 真 難看 不知 為何 賣 座 這麼 好 浪費 我 半天 的 時間","動作_冒險"
